Author,Title,Year,Publication,DOI
Zhe Liu and Xian-Hua Han,Deep Self-Supervised Hyperspectral Image Reconstruction,2022,"Multimedia Comput. Commun. Appl. 18, 3s, Article 149 (October 2022), 20 pages",https://doi.org/10.1145/3510373
"Hai Liu, Yu Song, Tingting Liu, Hui Li, Jiawen Li, Guixiang Wang, and Li Zhao",Blind infrared spectral signal reconstruction with improved total variation constraint,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3671151.3671276
"Shaolei Zhang, Guangyuan Fu, Hongqiao Wang, and Yuqing Zhao",Deep Multi-scale Recursive Residual Attention Network for Spectral Super Resolution,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3461353.3461393
"Xian-Hua Han, Yinqiang Zheng, and Yen-Wei Chen",Hyperspectral Image Reconstruction Using Multi-scale Fusion Learning,2022,"Multimedia Comput. Commun. Appl. 18, 1, Article 16 (January 2022), 21 pages",https://doi.org/10.1145/3477396
K. Zolfaghari; N. Pahlevan; C. Binding; D. Gurlin; S. G. H. Simis; A. R. Verdú; L. Li; C. J. Crawford; A. Vanderwoude; R. Errera; A. Zastepa; C. R. Duguay,Impact of Spectral Resolution on Quantifying Cyanobacteria in Lakes and Reservoirs: A Machine-Learning Assessment,2022,IEEE Transactions on Geoscience and Remote Sensing,https://doi.org/10.1109/TGRS.2021.3114635
E. Aiello; M. Agarla; D. Valsesia; P. Napoletano; T. Bianchi; E. Magli; R. Schettini,Synthetic Data Pretraining for Hyperspectral Image Super-Resolution,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2024.3396990
"Candebat, N. and Sacco, G.~G. and Magrini, L. and Belfiore, F. and Van der Swaelmen, M. and Zibetti, S.",Inferring stellar parameters and their uncertainties from high-resolution spectroscopy using invertible neural networks,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202451251
"Liu, Genghao and Tang, Baitian and Ren, Liangliang and Li, Chengyuan and Cheng, Sihao and Zong, Weikai and Fu, Jianning and Ma, Bo and Xu, Cheng and Hu, Yiming",A new code for low-resolution spectral identification of white dwarf binary candidates,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202449775
"Klein, Baptiste and Debras, Florian and Donati, Jean-Fran\ccois and Hood, Thea and Moutou, Claire and Carmona, Andres and Ould-elkhim, Merwan and B\'ezard, Bruno and Charnay, Benjamin and Fouqu\'e, Pascal and Masson, Adrien and Vinatier, Sandrine and Baruteau, Cl\'ement and Boisse, Isabelle and Bonfils, Xavier and Chiavassa, Andrea and Delfosse, Xavier and Dethier, William and Hebrard, Guillaume and Kiefer, Flavien and Leconte, J\'er\'emy and Martioli, Eder and Parmentier, Vivien and Petit, Pascal and Pluriel, William and Selsis, Franck and Teinturier, Lucas and Tremblin, Pascal and Turbet, Martin and Venot, Olivia and Wyttenbach, Aur\'elien",ATMOSPHERIX: I- an open source high-resolution transmission spectroscopy pipeline for exoplanets atmospheres with SPIRou,2024,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad2607
"Li, Xiangru and Lin, Boyu",Estimating stellar parameters from LAMOST low-resolution spectra,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad831
"Li, Zhuohan and Zhao, Gang and Chen, Yuqin and Liang, Xilong and Zhao, Jingkun",The stellar parameters and elemental abundances from low-resolution spectra - I. 1.2 million giants from LAMOST DR8,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1959
"Gebruers, Sarah and Tkachenko, Andrew and Bowman, Dominic M. and Van Reeth, Timothy and Burssens, Siemen and IJspeert, Luc and Mahy, Laurent and Straumit, Ilya and Xiang, Maosheng and Rix, Hans-Walter and Aerts, Conny",Analysis of high-resolution FEROS spectroscopy for a sample of variable B-type stars assembled from TESS photometry,2022,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202243839
"Xiang, Yue and Gu, Shenghong and Cao, Dongtao",Investigation of stellar magnetic activity using variational autoencoder based on low-resolution spectroscopic survey,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1693
"Wang, Rui and Luo, A. -Li and Chen, Jian-Jun and Hou, Wen and Zhang, Shuo and Zhao, Yong-Heng and Li, Xiang-Ru and Hou, Yong-Hui and LAMOST MRS Collaboration",SPCANet: Stellar Parameters and Chemical Abundances Network for LAMOST-II Medium Resolution Survey,2020,The Astrophysical Journal,https://doi.org/10.3847/1538-4357/ab6dea
