Author,Title,Year,Publication,DOI
"Bradley J. Gram-Hansen, Patrick Helber, Indhu Varatharajan, Faiza Azam, Alejandro Coca-Castro, Veronika Kopackova, and Piotr Bilinski",Mapping Informal Settlements in Developing Countries using Machine Learning and Low Resolution Multi-spectral Data,2019,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3306618.3314253
Zhe Liu and Xian-Hua Han,Deep Self-Supervised Hyperspectral Image Reconstruction,2022,"Multimedia Comput. Commun. Appl. 18, 3s, Article 149 (October 2022), 20 pages",https://doi.org/10.1145/3510373
"Hai Liu, Yu Song, Tingting Liu, Hui Li, Jiawen Li, Guixiang Wang, and Li Zhao",Blind infrared spectral signal reconstruction with improved total variation constraint,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3671151.3671276
Wenbin Jiang and Kai Yu,Speech Enhancement With Integration of Neural Homomorphic Synthesis and Spectral Masking,2023,"Audio, Speech and Lang. Proc. 31 (2023)",https://doi.org/10.1109/TASLP.2023.3271151
"Haiyan Hu, Qianyi Huang, and Qian Zhang",BabyNutri: A Cost-Effective Baby Food Macronutrients Analyzer Based on Spectral Reconstruction,2023,"ACM Interact. Mob. Wearable Ubiquitous Technol. 7, 1, Article 15 (March 2023), 30 pages",https://doi.org/10.1145/3580858
Ke Tan and DeLiang Wang,Learning Complex Spectral Mapping With Gated Convolutional Recurrent Networks for Monaural Speech Enhancement,2019,"Audio, Speech and Lang. Proc. 28 (2020)",https://doi.org/10.1109/TASLP.2019.2955276
"Xian-Hua Han, Yinqiang Zheng, Jiande Sun, and Yen-Wei Chen",Hyperspectral Reconstruction with Redundant Camera Spectral Sensitivity Functions,2020,"Multimedia Comput. Commun. Appl. 16, 2, Article 57 (May 2020), 15 pages",https://doi.org/10.1145/3386313
"Shaolei Zhang, Guangyuan Fu, Hongqiao Wang, and Yuqing Zhao",Deep Multi-scale Recursive Residual Attention Network for Spectral Super Resolution,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3461353.3461393
"Zhong-Qiu Wang, Peidong Wang, and DeLiang Wang",Complex Spectral Mapping for Single- and Multi-Channel Speech Enhancement and Robust ASR,2020,"Audio, Speech and Lang. Proc. 28 (2020)",https://doi.org/10.1109/TASLP.2020.2998279
"Xian-Hua Han, Yinqiang Zheng, and Yen-Wei Chen",Hyperspectral Image Reconstruction Using Multi-scale Fusion Learning,2022,"Multimedia Comput. Commun. Appl. 18, 1, Article 16 (January 2022), 21 pages",https://doi.org/10.1145/3477396
Y. Fu; Z. Liang; S. You,Bidirectional 3D Quasi-Recurrent Neural Network for Hyperspectral Image Super-Resolution,2021,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2021.3057936
K. Zolfaghari; N. Pahlevan; C. Binding; D. Gurlin; S. G. H. Simis; A. R. Verdú; L. Li; C. J. Crawford; A. Vanderwoude; R. Errera; A. Zastepa; C. R. Duguay,Impact of Spectral Resolution on Quantifying Cyanobacteria in Lakes and Reservoirs: A Machine-Learning Assessment,2022,IEEE Transactions on Geoscience and Remote Sensing,https://doi.org/10.1109/TGRS.2021.3114635
K. Horapong; K. Srisutheenon; V. Areekul,Progressive and Corrective Feedback for Latent Fingerprint Enhancement Using Boosted Spectral Filtering and Spectral Autoencoder,2021,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3093879
H. Zhang; Z. Yang; Z. Dong; Y. Chen,TNT++: A Spectral Super-Resolution Method Based on the Entropy of Pathological Images,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3336684
E. Aiello; M. Agarla; D. Valsesia; P. Napoletano; T. Bianchi; E. Magli; R. Schettini,Synthetic Data Pretraining for Hyperspectral Image Super-Resolution,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2024.3396990
H. Zhang; W. Wang; X. Han; W. Sun,Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2025.3547347
X. Zhao; K. Liu; X. Wang; S. Zhao; K. Gao; H. Lin; Y. Zong; W. Li,Tensor Adaptive Reconstruction Cascaded With Global and Local Feature Fusion for Hyperspectral Target Detection,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2024.3486774
H. Fan; C. Li; H. Xu; L. Zhao; X. Zhang; H. Jiang; W. Yu,High Accurate and Efficient 3D Network for Image Reconstruction of Diffractive-Based Computational Spectral Imaging,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2024.3451560
"Candebat, N. and Sacco, G.~G. and Magrini, L. and Belfiore, F. and Van der Swaelmen, M. and Zibetti, S.",Inferring stellar parameters and their uncertainties from high-resolution spectroscopy using invertible neural networks,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202451251
"Liu, Genghao and Tang, Baitian and Ren, Liangliang and Li, Chengyuan and Cheng, Sihao and Zong, Weikai and Fu, Jianning and Ma, Bo and Xu, Cheng and Hu, Yiming",A new code for low-resolution spectral identification of white dwarf binary candidates,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202449775
"Nath-Ranga, R. and Absil, O. and Christiaens, V. and Garvin, E.~O.",Machine learning for exoplanet detection in high-contrast spectroscopy: Combining cross-correlation maps and deep learning on medium-resolution integral-field spectra,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202449150
"Klein, Baptiste and Debras, Florian and Donati, Jean-Fran\ccois and Hood, Thea and Moutou, Claire and Carmona, Andres and Ould-elkhim, Merwan and B\'ezard, Bruno and Charnay, Benjamin and Fouqu\'e, Pascal and Masson, Adrien and Vinatier, Sandrine and Baruteau, Cl\'ement and Boisse, Isabelle and Bonfils, Xavier and Chiavassa, Andrea and Delfosse, Xavier and Dethier, William and Hebrard, Guillaume and Kiefer, Flavien and Leconte, J\'er\'emy and Martioli, Eder and Parmentier, Vivien and Petit, Pascal and Pluriel, William and Selsis, Franck and Teinturier, Lucas and Tremblin, Pascal and Turbet, Martin and Venot, Olivia and Wyttenbach, Aur\'elien",ATMOSPHERIX: I- an open source high-resolution transmission spectroscopy pipeline for exoplanets atmospheres with SPIRou,2024,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad2607
"Li, Xiangru and Lin, Boyu",Estimating stellar parameters from LAMOST low-resolution spectra,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad831
"Irfan, Melis O.",Simulating a full-sky high resolution Galactic synchrotron spectral index map using neural networks,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad526
"Li, Zhuohan and Zhao, Gang and Chen, Yuqin and Liang, Xilong and Zhao, Jingkun",The stellar parameters and elemental abundances from low-resolution spectra - I. 1.2 million giants from LAMOST DR8,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1959
"Gebruers, Sarah and Tkachenko, Andrew and Bowman, Dominic M. and Van Reeth, Timothy and Burssens, Siemen and IJspeert, Luc and Mahy, Laurent and Straumit, Ilya and Xiang, Maosheng and Rix, Hans-Walter and Aerts, Conny",Analysis of high-resolution FEROS spectroscopy for a sample of variable B-type stars assembled from TESS photometry,2022,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202243839
"Xiang, Yue and Gu, Shenghong and Cao, Dongtao",Investigation of stellar magnetic activity using variational autoencoder based on low-resolution spectroscopic survey,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1693
