Author,Title,Year,Publication,DOI
"Bradley J. Gram-Hansen, Patrick Helber, Indhu Varatharajan, Faiza Azam, Alejandro Coca-Castro, Veronika Kopackova, and Piotr Bilinski",Mapping Informal Settlements in Developing Countries using Machine Learning and Low Resolution Multi-spectral Data,2019,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3306618.3314253
"Qingsong Xiong, Cheng Yuan, Keyan Ji, Chang He, and Hai Bei Xiong",Vibration Recognition Based on Feature Extraction by Deep Autoencoder,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3616901.3616919
"Hai Liu, Yu Song, Tingting Liu, Hui Li, Jiawen Li, Guixiang Wang, and Li Zhao",Blind infrared spectral signal reconstruction with improved total variation constraint,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3671151.3671276
"Xiao huan Jin, Si yu Chang, Yun Ling, Zhong lue Chen, Ling yan Ma, Kang Ren, Tao Feng, and Jin Zhao",Incorporating Prior-Driven and Data-Driven Feature Extraction Approaches for Parkinson's Automatic Tremor Detection,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3691521.3691528
"Meng Wang, Jizheng Xu, Li Zhang, Junru Li, Kai Zhang, Shiqi Wang, and Siwei Ma",Compressed Screen Content Image Super Resolution,2023,"Multimedia Comput. Commun. Appl. 19, 6, Article 209 (November 2023), 20 pages",https://doi.org/10.1145/3589963
"Fei Mo, Lianglun Cheng, Heng Wu, and Yidan Chang",Single Infrared Image Super-Resolution with Lightweight Self-corrected Attention Network,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3488933.3488992
"Shumin Chen, Yang Wei, Jinghe Zhou, and Xinmin Chen",Spectral Analysis for Origin Identification of Chinese Herbal Medicines Based on Stacking Classification Models,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3650400.3650497
Bin-Cheng Yang,Super Resolution Using Dual Path Connections,2019,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3343031.3350878
Heming Wang and DeLiang Wang,Towards Robust Speech Super-Resolution,2021,"Audio, Speech and Lang. Proc. 29 (2021)",https://doi.org/10.1109/TASLP.2021.3054302
"Shaolei Zhang, Guangyuan Fu, Hongqiao Wang, and Yuqing Zhao",Deep Multi-scale Recursive Residual Attention Network for Spectral Super Resolution,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3461353.3461393
"Wissam Aoudi, Nasser Nowdehi, Magnus Almgren, and Tomas Olovsson",Spectra: detecting attacks on in-vehicle networks through spectral analysis of CAN-message payloads,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3412841.3442032
"Emily Napier, Gavin Gray, and Sageev Oore",Spectral Analysis for Dance Movement Query and Interpolation,2022,"Association for Computing Machinery, New York, NY, USA, Article 19",https://doi.org/10.1145/3537972.3537995
"Alexander Bohlender, Ann Spriet, Wouter Tirry, and Nilesh Madhu",Spatially Selective Speaker Separation Using a DNN With a Location Dependent Feature Extraction,2023,"Audio, Speech and Lang. Proc. 32 (2024)",https://doi.org/10.1109/TASLP.2023.3343605
