"Author","Title","Year","Publication","DOI"
"D. Ma; M. Izzetoglu; R. Holtzer; X. Jiao","Deep Learning Based Walking Tasks Classification in Older Adults Using fNIRS","2023","IEEE Transactions on Neural Systems and Rehabilitation Engineering","https://doi.org/10.1109/TNSRE.2023.3306365"
"S. Gulyanon; S. Deepaisarn; S. Chokphantavee; S. Chokphantavee; P. Prathipasen; S. Laitrakun; P. Opaprakasit; W. Viriyavit; N. Jaikaew; J. Jindakaew; P. Rakpongsiri; T. Meechamnan; D. Sompongse","Denoising Raman Spectra Using Autoencoder for Improved Analysis of Contamination in HDD","2024","IEEE Access","https://doi.org/10.1109/ACCESS.2024.3441824"
"A. Procházka; D. Martynek; J. Charvát","Absorption Spectroscopy in Dental Tissue Analysis","2023","IEEE Access","https://doi.org/10.1109/ACCESS.2023.3246299"
"P. M. Conforti; G. Lazzini; P. Russo; M. D’Acunto","Raman Spectroscopy and AI Applications in Cancer Grading: An Overview","2024","IEEE Access","https://doi.org/10.1109/ACCESS.2024.3388841"
"H. Zhou","A Bayesian Inference-Based Method for Uncertainty Analysis in Raman Spectroscopy","2025","IEEE Access","https://doi.org/10.1109/ACCESS.2024.3510927"
"W. Zhao; Z. Wu; Z. Yin; D. Li","Reducing Moisture Effects on Soil Organic Carbon Content Estimation in Vis-NIR Spectra With a Deep Learning Algorithm","2023","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2023.3287583"
"L. Pan; P. Pipitsunthonsan; C. Daengngam; S. Channumsin; S. Sreesawet; M. Chongcheawchamnan","Method for Classifying a Noisy Raman Spectrum Based on a Wavelet Transform and a Deep Neural Network","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.3035884"
"J. D. Ellis; R. Iqbal; K. Yoshimatsu","Deep Q-Learning-Based Molecular Graph Generation for Chemical Structure Prediction From Infrared Spectra","2024","IEEE Transactions on Artificial Intelligence","https://doi.org/10.1109/TAI.2023.3287947"
"C. Decaro; G. B. Montanari; R. Molinari; A. Gilberti; D. Bagnoli; M. Bianconi; G. Bellanca","Machine Learning Approach for Prediction of Hematic Parameters in Hemodialysis Patients","2019","IEEE Journal of Translational Engineering in Health and Medicine","https://doi.org/10.1109/JTEHM.2019.2938951"
"A. Bizzego; M. Neoh; G. Gabrieli; G. Esposito","A Machine Learning Perspective on fNIRS Signal Quality Control Approaches","2022","IEEE Transactions on Neural Systems and Rehabilitation Engineering","https://doi.org/10.1109/TNSRE.2022.3198110"
"Y. Tao","Quantitative Analysis of Near-Infrared Spectroscopy of Blended Fabrics Based on Convolutional Neural Network","2023","IEEE Access","https://doi.org/10.1109/ACCESS.2023.3275430"
"J. Parab; M. Sequeira; M. Lanjewar; C. Pinto; G. Naik","Backpropagation Neural Network-Based Machine Learning Model for Prediction of Blood Urea and Glucose in CKD Patients","2021","IEEE Journal of Translational Engineering in Health and Medicine","https://doi.org/10.1109/JTEHM.2021.3079714"
"Y. V. Flores; A. Polak; J. Jambet; D. Stothard; M. Haertelt","Point of Interest Mid-Infrared Spectroscopy for Inline Pharmaceutical Packaging Quality Control","2023","IEEE Sensors Journal","https://doi.org/10.1109/JSEN.2023.3281972"
"R. Alaiz-Rodríguez; A. C. Parnell","A Machine Learning Approach for Lamb Meat Quality Assessment Using FTIR Spectra","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.2974623"
"T. Yamaguchi; H. Kawashima; H. Matsuda; Y. Shinoda","Fiber Bragg Grating Interrogation System Combining Wavelength-Swept Laser and Convolutional Neural Network","2024","IEEE Sensors Journal","https://doi.org/10.1109/JSEN.2024.3407359"
"Z. Ajra; B. Xu; G. Dray; J. Montmain; S. Perrey","Mental arithmetic task classification with convolutional neural network based on spectral-temporal features from EEG","2022","2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","https://doi.org/10.1109/EMBC48229.2022.9870887"
"J. Choi; I. Ko; Y. Nah; B. Kim; Y. Park; J. Cha; J. Choi; S. Han","Machine Learning Approach for Classifying College Scholastic Ability Test Levels With Unsupervised Features From Prefrontal Functional Near-Infrared Spectroscopy Signals","2022","IEEE Access","https://doi.org/10.1109/ACCESS.2022.3173629"
"S. D. Wickramaratne; M. S. Mahmud","LSTM based GAN Networks for Enhancing Ternary Task Classification Using fNIRS Data","2021","2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","https://doi.org/10.1109/EMBC46164.2021.9630000"
"H. Bian; H. Yao; G. Lin; Y. Yu; R. Chen; X. Wang; R. Ji; X. Yang; T. Zhu; Y. Ju","Multiple Kinds of Pesticides Detection Based on Back-Propagation Neural Network Analysis of Fluorescence Spectra","2020","IEEE Photonics Journal","https://doi.org/10.1109/JPHOT.2020.2973653"
"F. Lam; Y. Li; X. Peng","Constrained Magnetic Resonance Spectroscopic Imaging by Learning Nonlinear Low-Dimensional Models","2020","IEEE Transactions on Medical Imaging","https://doi.org/10.1109/TMI.2019.2930586"
"J. Tomeš; D. Janstová; S. Mohsen; A. Sinica; Z. Kováčová; J. Petrtýl; J. Mareš","Rapid Colorectal Tissue Classification Using Data-Driven Raman Techniques","2025","IEEE Access","https://doi.org/10.1109/ACCESS.2025.3539181"
"Z. Sun; Z. Huang; F. Duan; Y. Liu","A Novel Multimodal Approach for Hybrid Brain–Computer Interface","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.2994226"
"T. K. K. Ho; J. Gwak; C. M. Park; J. -I. Song","Discrimination of Mental Workload Levels From Multi-Channel fNIRS Using Deep Leaning-Based Approaches","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2900127"
"A. Puttipipatkajorn; A. Terdwongworakul; A. Puttipipatkajorn; S. Kulmutiwat; P. Sangwanangkul; T. Cheepsomsong","Indirect Prediction of Dry Matter in Durian Pulp With Combined Features Using Miniature NIR Spectrophotometer","2023","IEEE Access","https://doi.org/10.1109/ACCESS.2023.3303020"
"H. Yan; M. Yu; J. Xia; L. Zhu; T. Zhang; Z. Zhu; G. Sun","Diverse Region-Based CNN for Tongue Squamous Cell Carcinoma Classification With Raman Spectroscopy","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.3006567"
