Author,Title,Year,Publication,DOI
"Duque-Casta\~no, David S. and Zuluaga, Jorge I. and Flor-Torres, Lauren","Machine-assisted classification of potential biosignatures in Earth-like exoplanets using low signal-to-noise ratio transmission spectra","2025","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/staf563"
"Vincent, Olivier and Bergeron, Pierre and Dufour, Patrick","Synthetic spectroscopy for white dwarf classification: addressing label uncertainty and class imbalance","2025","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/staf448"
"Trusov, Svyatoslav and Zarrouk, Pauline and Cole, Shaun","Neural network-based model of galaxy power spectrum: fast full-shape galaxy power spectrum analysis","2025","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/staf285"
"Ricketts, Benjamin J. and Huppenkothen, Daniela and Lucchini, Matteo and Ingram, Adam and Mastroserio, Guglielmo and Ho, Matthew and Wandelt, Benjamin","RTFAST-Spectra: emulation of X-ray reverberation mapping for active galactic nuclei","2025","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/staf337"
"Sacchi, Andrea and Paggeot, Kevin and Dillmann, Steven and Mart\'\inez-Galarza, Juan Rafael and Kosec, Peter","Hyperluminous Supersoft X-Ray Sources in the Chandra Catalog","2025","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/adc256"
"Park, Hyunbae and Jung, Intae and Yajima, Hidenobu and Sorce, Jenny G. and Shapiro, Paul R. and Ahn, Kyungjin and Ocvirk, Pierre and Teyssier, Romain and Yepes, Gustavo and Iliev, Ilian T. and Lewis, Joseph S.~W.","Constraining Reionization with Ly\ensuremath\alpha Damping-wing Absorption in Galaxy Spectra: A Machine Learning Model Based on Reionization Simulations","2025","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/adc001"
"Medlock, Isabel and Nagai, Daisuke and Angl\'es-Alc\'azar, Daniel and Gebhardt, Matthew","Constraining Baryonic Feedback Effects on the Matter Power Spectrum with Fast Radio Bursts","2025","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/adbc9c"
"Roulston, Benjamin R. and Leonhardes-Barboza, Naunet and Green, Paul J. and Portnoi, Evan","Carbon Stars from Gaia Data Release 3 and the Space Density of Dwarf Carbon Stars","2025","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/adba53"
"Schmaltz, Tyler and Hu, Yue and Lazarian, Alex","Estimating the Sonic Mach Number in the Interstellar Medium with Convolutional Neural Networks","2025","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/adb7ce"
"Yang, Haifeng and Zhang, Boyu and Cai, Jianghui and Qu, Han and Zheng, Aiyu and Hao, Jing and Chen, Xin and Zhao, Xujun and Xun, Yaling","An automatic detection method for small size dwarf galaxy candidates","2025","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202453042"
"Cunha, P.~A.~C. and Humphrey, A. and Brinchmann, J. and Paulino-Afonso, A. and Bisigello, L. and Bolzonella, M. and Vaz, D.","Exploring the physical properties of type II quasar candidates at intermediate redshifts with CIGALE","2025","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202453068"
"Tutone, A. and Anitra, A. and Ambrosi, E. and La Placa, R. and D'A\`\i, A. and Pinto, C. and Del Santo, M. and Pintore, F. and Pagliaro, A. and Anzalone, A. and Di Salvo, T. and Iaria, R. and Burderi, L. and Sanna, A.","X-ray spectral fitting with Monte Carlo dropout neural networks","2025","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202553690"
"Olander, Terese and Gent, Matthew R. and Heiter, Ulrike and Kochukhov, Oleg and Bergemann, Maria and Magg, Ekaterina and Cassisi, Santi and Kovalev, Mikhail and Morel, Thierry and Miller, Nicola J. and Souto, Diogo and Shan, Yutong and Rojas-Ayala, B\'arbara and Delgado-Mena, Elisa and Wang, Haiyang S.","Performance of the Stellar Abundances and atmospheric Parameters Pipeline adapted for M dwarfs: I. Atmospheric parameters from the spectroscopic module","2025","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202452048"
"Kuiper, Dirk and Contardo, Gabriella and Huppenkothen, Daniela and Hessels, Jason W.~T.","Representation learning for fast radio burst dynamic spectra","2025","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/staf306"
