"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning Based Walking Tasks Classification in Older Adults Using fNIRS","D. Ma; M. Izzetoglu; R. Holtzer; X. Jiao","Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA; Department of Neurology, Albert Einstein College of Medicine, and the Ferkauf Graduate School of Psychology, Yeshiva University, Bronx, NY, USA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"30 Aug 2023","2023","31","","3437","3447","Decline in gait features is common in older adults and an indicator of increased risk of disability, morbidity, and mortality. Under dual task walking (DTW) conditions, further degradation in the performance of both the gait and the secondary cognitive task were found in older adults which were significantly correlated to falls history. Cortical control of gait, specifically in the pre-frontal cortex (PFC) as measured by functional near infrared spectroscopy (fNIRS), during DTW in older adults has recently been studied. However, the automatic classification of differences in cognitive activations under single and dual task gait conditions has not been extensively studied yet. In this paper, by considering single task walking (STW) as a lower attentional walking state and DTW as a higher attentional walking state, we aimed to formulate this as an automatic detection of low and high attentional walking states and leverage deep learning methods to perform their classification. We conduct analysis on the data samples which reveals the characteristics on the difference between HbO2 and Hb values that are subsequently used as additional features. We perform feature engineering to formulate the fNIRS features as a 3-channel image and apply various image processing techniques for data augmentation to enhance the performance of deep learning models. Experimental results show that pre-trained deep learning models that are fine-tuned using the collected fNIRS dataset together with gender and cognitive status information can achieve around 81% classification accuracy which is about 10% higher than the traditional machine learning algorithms. We present additional sensitivity metrics such as confusion matrix, precision and  ${F}_{{1}}$  score, as well as accuracy on two-way classification between condition pairings. We further performed an extensive ablation study to evaluate factors such as the voxel locations, channels of input images, zero-paddings and pre-training of deep learning model on their contribution or impact to the classification task. Results showed that using pre-trained model, all the voxel locations, and HbO2 - Hb as the third channel of the input image can achieve the best classification accuracy.","1558-0210","","10.1109/TNSRE.2023.3306365","National Institutes on Aging(grant numbers:R01AG036921,R01AG044007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10224289","Functional near infrared spectroscopy;neural networks;walking tasks classification;deep learning;aging","Task analysis;Legged locomotion;Functional near-infrared spectroscopy;Older adults;Deep learning;Protocols;Monitoring","Humans;Aged;Deep Learning;Walking;Gait;Algorithms;Benchmarking;Oxyhemoglobins","4","","72","CCBY","18 Aug 2023","","","IEEE","IEEE Journals"
"Denoising Raman Spectra Using Autoencoder for Improved Analysis of Contamination in HDD","S. Gulyanon; S. Deepaisarn; S. Chokphantavee; S. Chokphantavee; P. Prathipasen; S. Laitrakun; P. Opaprakasit; W. Viriyavit; N. Jaikaew; J. Jindakaew; P. Rakpongsiri; T. Meechamnan; D. Sompongse","College of Interdisciplinary Studies, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Western Digital Storage Technologies (Thailand) Ltd., Ayutthaya, Thailand; Western Digital Storage Technologies (Thailand) Ltd., Ayutthaya, Thailand; Western Digital Storage Technologies (Thailand) Ltd., Ayutthaya, Thailand",IEEE Access,"21 Aug 2024","2024","12","","113661","113676","Small particles contaminated in hard disk drives (HDD) potentially cause damage to the device, leading to data loss. Hard disk industries, therefore, pay attention to identifying the types and sources of these contaminants. However, expensive analytical procedures are required for precise identification when testing samples are relatively small and scarce. A traditional tool, Raman spectroscopy, provides spectra with poor signal-to-noise ratios when dealing with sub-micron particles. Hence, human experts find noisy Raman spectral identification a real burden. In this study, we proposed a practically applicable pipeline, consisting of a denoising autoencoder with the spectral gradient correlation for the classification task, followed by the novel validation step based on an ensemble of CNN models to remove the predictions with low certainty. In the experiments, three different backbone models for denoising autoencoders are studied, including multilayer perceptron (MLP), convolutional neural network (CNN), and U-Net. While the ensemble model consists of eight different CNN models that act as independent machine experts whose votes indicate agreement with the correlation approach. When less agreement is observed, the sample is said to be unidentified and rejected from the classification task. With our validation step, the results bestow exceptionally high classification accuracy of 0.965, 0.955, and 0.976 for spectra undergoing our proposed pipeline with MLP, CNN, and U-Net autoencoder denoising models, respectively. This highlights the effectiveness of our proposed pipeline in practical application.","2169-3536","","10.1109/ACCESS.2024.3441824","Western Digital Storage Technologies (Thailand) Ltd., under the Research Project “Enhancing the Capability of Raman Spectroscopy Analysis Using Deep Learning for Determination of Contamination Causing HDD Failure.”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10637964","Raman spectroscopy;deep learning;machine learning;denoising;nanoparticles;polymers;material identification/classification","Noise reduction;Raman scattering;Deep learning;Contamination;Accuracy;Pipelines;Convolutional neural networks","","","","71","CCBYNCND","15 Aug 2024","","","IEEE","IEEE Journals"
"Absorption Spectroscopy in Dental Tissue Analysis","A. Procházka; D. Martynek; J. Charvát","Department of Mathematics, Informatics and Cybernetics, University of Chemistry and Technology, Prague (UCT Prague), Prague, Czech Republic; Department of Mathematics, Informatics and Cybernetics, University of Chemistry and Technology, Prague (UCT Prague), Prague, Czech Republic; Department of Stomatology, First Faculty of Medicine, Charles University in Prague, Prague, Czech Republic",IEEE Access,"24 Feb 2023","2023","11","","17569","17575","Oral health problems are closely associated with the analysis of dental tissue changes and the stomatologic treatment that follows. This paper explores the use of diffuse reflectance spectroscopy in the detection of dental tissue disorders. The data set includes 343 measurements of teeth spectra in the wavelength range from 400 to 1700 nm. The proposed methodology focuses on computational and statistical methods and the use of these methods for the classification of dental tissue into two classes (healthy and unhealthy) by estimating the probability of class membership. Signal processing is based on the difference between the healthy and unhealthy teeth reflectance spectra in the infrared and visible ranges. Selected features associated with observed spectra are then used for machine learning classification based on the experience of an expert in stomatology during the learning stage. The proposed modification of the weighted  ${k}$ -nearest neighbour method provides class boundaries and the probability of class membership during the verification stage. The accuracy of the classification process reached 95.4%. The proposed methodology and graphical user interface point to the possibility of using absorption spectroscopy in the evaluation of tissue quality changes and its possible implementation in the clinical environment.","2169-3536","","10.1109/ACCESS.2023.3246299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10047898","Diffuse reflectance spectroscopy;dental tissue changes;feature extraction;machine learning;weighted k-nearest neighbour method;computational intelligence;classification","Teeth;Absorption;Wavelength measurement;Statistical analysis;Signal processing;Machine learning;Spectroscopy;Tissue engineering;Dentistry;Graphical user interfaces","","","","46","CCBYNCND","16 Feb 2023","","","IEEE","IEEE Journals"
"Raman Spectroscopy and AI Applications in Cancer Grading: An Overview","P. M. Conforti; G. Lazzini; P. Russo; M. D’Acunto","DIAG Department, Sapienza University of Rome, Rome, Italy; Italian National Research Council, Institute of Biophysics, Pisa, CNR-IBF, Italy; DIAG Department, Sapienza University of Rome, Rome, Italy; Italian National Research Council, Institute of Biophysics, Pisa, CNR-IBF, Italy",IEEE Access,"23 Apr 2024","2024","12","","54816","54852","Raman spectroscopy (RS) is a label-free molecular vibrational spectroscopy technique that is able to identify the molecular fingerprint of various samples making use of the inelastic scattering of monochromatic light. Because of its advantages of non-destructive and accurate detection, RS is finding more and more use for benign and malignant tissues, tumor differentiation, tumor subtype classification, and section pathology diagnosis, operating either in vivo or in vitro. However, the high specificity of RS comes at a cost. The acquisition rate is low, depth information cannot be directly accessed, and the sampling area is limited. Such limitations can be contained if data pre- and post-processing methods are combined with current methods of Artificial Intelligence (AI), essentially, Machine Learning (ML) and Deep Learning (DL). The latter is modifying the approach to cancer diagnosis currently used to automate many cancer data analyses, and it has emerged as a promising option for improving healthcare accuracy and patient outcomes by abiliting prediction diseases tools. In a very broad context, Artificial Intelligence applications in oncology include risk assessment, early diagnosis, patient prognosis estimation, and treatment selection based on deep knowledge. The application of autonomous methods to datasets generated by RS analysis of benign and malignant tissues could make RS a rapid and stand-alone technique to help pathologists diagnose cancer with very high accuracy. This review describes the current milestones achieved by applying AI-based algorithms to RS analysis, grouped according to seven major types of cancers (Pancreatic, Breast, Skin, Brain, Prostate, Ovarian and Oral cavity). Additionally, it provides a theoretical foundation to tackle both present and forthcoming challenges in this domain. By exploring the current achievements and discussing the relative methodologies, this review offers recapitulative insights on recent and ongoing efforts to position RS as a rapid and effective cancer screening tool for pathologists. Accordingly, we aim to encourage future research endeavors and to facilitate the realization of the full potential of RS and AI applications in cancer grading.","2169-3536","","10.1109/ACCESS.2024.3388841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499825","Raman spectroscopy;cancer diagnosis;artificial intelligence;automated cancer diagnosis;machine learning;deep learning;tumor classification","Cancer;Reviews;Tumors;Microscopy;Fluorescence;Artificial intelligence;Raman scattering","","5","","201","CCBYNCND","15 Apr 2024","","","IEEE","IEEE Journals"
"A Bayesian Inference-Based Method for Uncertainty Analysis in Raman Spectroscopy","H. Zhou","Information Science and Technology College, Dalian Maritime University, Dalian, China",IEEE Access,"14 Jan 2025","2025","13","","7746","7756","Raman spectroscopy is an important analytical technique with advantages in non-destructive and rapid analysis, and it is widely used in fields such as chemical analysis, materials science, and biomedical research. The integration of Raman spectroscopy with deep learning methods has been shown to produce excellent chemical analysis results. However, challenges arise when neural networks are faced with issues such as environmental noise and the analysis of samples outside the training dataset, where the reliability and interpretability of the prediction results become critical. Bayesian inference allows for the updating of the hypothesis probability of the neural network’s predictions, thereby incorporating additional evidence and information. To address the issue of uncertainty analysis in Raman spectroscopy predictions, this paper proposes a novel uncertainty analysis method based on the combination of neural networks and Bayesian inference, referred to as BayesianVGG. This method achieves accurate sample classification while quantifying the confidence of the model’s output results through Bayesian inference, significantly enhancing the robustness of Raman spectroscopy analysis in complex environments. In experiments on an animal blood Raman spectroscopy dataset (both reflection and transmission modes), the proposed method achieves classification accuracies of 95.36% and 94.83%, respectively, showing slight improvements over other classical machine learning and neural network methods. Furthermore, by generating prediction confidence heatmaps, BayesianVGG effectively addresses the uncertainty analysis of unknown samples, thereby improving the interpretability of the prediction results.","2169-3536","","10.1109/ACCESS.2024.3510927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10777051","Bayesian;Raman spectroscopy;blood analysis;uncertainty analysis","Bayes methods;Uncertainty;Raman scattering;Neural networks;Blood;Training;Noise;Spectroscopy;Feature extraction;Accuracy","","","","40","CCBY","4 Dec 2024","","","IEEE","IEEE Journals"
"Reducing Moisture Effects on Soil Organic Carbon Content Estimation in Vis-NIR Spectra With a Deep Learning Algorithm","W. Zhao; Z. Wu; Z. Yin; D. Li","School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"31 Aug 2023","2023","16","","7733","7748","When estimating soil organic carbon using visible and near-infrared spectra measured in situ, the interference of soil moisture content (SMC) needs to be eliminated. The existing SMC removal methods are mainly based on spectral transformation, but they change the original form of the soil spectrum. In this article, a new deep-learning-based SMC influence removal network (MIRNet) is proposed to establish the relationship between the spectra of moist soil and that of dry soil. This method constructs a spectral extraction module with two 1-D ghost modules to extract soil spectral characteristics and a context extraction module with a two-layer dilated convolutional neural network to extract the context information of the spectra. Then, these extracted features are combined to reconstruct the SMC influence with a two-layer deconvolution using residual learning. Finally, a new loss function that combines spectral distance and spectral shape measurement (D-S loss) is proposed. The input of MIRNet is the moist soil spectra, and the output is the dry soil spectra. Black soil collected from Harbin and yellow-brown soil collected from Nanjing are selected as the research objects. The $ R^{2}$ reaches 0.703, 0.747, 0.907, 0.892, 0.866, 0.907, and 0.926, respectively, when using spectra processed by external parameter orthogonalization, orthogonal signal correction, support vector regression, convolutional neural network, deep neural network, denoising convolutional neural network, and MIRNet. Therefore, the proposed MIRNet achieves competitive results compared with these state-of-the-art methods.","2151-1535","","10.1109/JSTARS.2023.3287583","National Natural Science Foundation of China(grant numbers:61871157,62071143); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10157982","Deep learning;estimation;soil moisture content (SMC) influence removal;soil organic carbon (SOC);visible and near-infrared (Vis-NIR) spectra","Estimation;Feature extraction;Soil measurements;Convolutional neural networks;Soil moisture;Moisture;Deep learning;Organic compounds;Carbon;Infrared spectra","","4","","52","CCBY","20 Jun 2023","","","IEEE","IEEE Journals"
"Method for Classifying a Noisy Raman Spectrum Based on a Wavelet Transform and a Deep Neural Network","L. Pan; P. Pipitsunthonsan; C. Daengngam; S. Channumsin; S. Sreesawet; M. Chongcheawchamnan","Faculty of Engineering, Prince of Songkla University, Songkhla, Thailand; Faculty of Engineering, Prince of Songkla University, Songkhla, Thailand; Faculty of Science, Prince of Songkla University, Songkhla, Thailand; Geo-Informatics and Space Technology Development Agency (GISTDA), Chonburi, Thailand; Geo-Informatics and Space Technology Development Agency (GISTDA), Chonburi, Thailand; Faculty of Engineering, Prince of Songkla University, Songkhla, Thailand",IEEE Access,"13 Nov 2020","2020","8","","202716","202727","Because it is relatively difficult in practice to classify the Raman spectrum under baseline noise and additive white Gaussian noise environments, this paper proposes a new framework based on a wavelet transform and deep neural network for identification of noisy Raman spectra. The framework consists of two main engines. Wavelet transform is proposed as the framework front end for transforming the 1-D noise Raman spectrum to two-dimensional data. The two-dimensional data are fed to the framework back end, which is a classifier. The optimum classifier is chosen by implementing several traditional machine learning (ML) and deep learning (DL) algorithms, and we investigate their classification accuracy and robustness performances. The four chosen MLs are naive Bayes (NB), a support vector machine (SVM), a random forest (RF) and a k-nearest neighbor (KNN), and a deep convolution neural network (DCNN) was chosen as a DL classifier. Noise-free, Gaussian noise, baseline noise, and mixed-noise Raman spectra were applied to train and validate the ML and DCNN models. The optimum back-end classifier was obtained by testing the ML and DCNN models with several noisy Raman spectra (10-30 dB noise power). Based on the simulation, the accuracy of the DCNN classifier is 9% higher than that of the NB classifier, 3.5% higher than the RF classifier, 1% higher than the KNN classifier, and 0.5% higher than the SVM classifier. In terms of robustness to mixed noise scenarios, the framework with the DCNN back end showed superior performance compared with the other ML back ends. The DCNN back end achieved 90% accuracy at 3 dB SNR, while the NB, SVM, RF, and K-NN back ends required 27 dB, 22 dB, 27 dB, and 23 dB SNR, respectively. In addition, in the low-noise test dataset, the F-measure score of the DCNN back end exceeded 99.1%, and the F-measure scores of the other ML engines were below 98.7%.","2169-3536","","10.1109/ACCESS.2020.3035884","Science, Research and Innovation Promotion Fund(grant numbers:1383848); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9248061","Raman spectrum;baseline noise;wavelet transform;deep convolution neural network;accuracy;robustness","Wavelet transforms;Support vector machines;Radio frequency;Neural networks;Noise measurement;Engines;Signal to noise ratio","","9","","43","CCBY","4 Nov 2020","","","IEEE","IEEE Journals"
"Deep Q-Learning-Based Molecular Graph Generation for Chemical Structure Prediction From Infrared Spectra","J. D. Ellis; R. Iqbal; K. Yoshimatsu","Department of Computer Science, Missouri State University, Springfield, MO, USA; Department of Computer Science, Missouri State University, Springfield, MO, USA; Department of Chemistry and Biochemistry, Missouri State University, Springfield, MO, USA",IEEE Transactions on Artificial Intelligence,"12 Feb 2024","2024","5","2","634","646","In this article, we present a novel approach to predicting chemical structures from their infrared (IR) spectra using deep Q-learning. IR spectra measurements are widely used in chemical analysis because they provide information on the types and characteristics of chemical bonds present within compounds. However, there are currently no algorithms to predict the entire chemical structure of a broad range of compounds relying solely on IR spectra, unless there is an exact or closely matched spectrum in an existing reference spectra library. To address this, we apply double deep Q-learning for automated prediction of the entire chemical structures of organic compounds based on IR spectra. Our method builds predicted structures by starting from a single carbon atom and subsequently adding an atom and bond step-by-step by ranking the rewards of each possible addition based on Q-values. We devised new structural similarity metrics, atom bond count and substructure count metrics to achieve our goal. Compared to the commonly used structural similarity score, the Jaccard index of extended-connectivity fingerprints, the devised metrics exhibit more suitable properties for Q-learning. The deep Q-model, which uses the combination of our two proposed metrics, gives the overall best performance and can generate structures similar to the actual structures in terms of their structural features and molecular weight in most tested cases.","2691-4581","","10.1109/TAI.2023.3287947","NASA Missouri Space; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10158397","Chemical structure prediction;deep Q-learning;deep learning;infrared spectroscopy;reinforcement learning;structural similarity score","Q-learning;Infrared spectra;Spectroscopy;Deep learning;Reinforcement learning;Chemical analysis","","4","","36","CCBY","20 Jun 2023","","","IEEE","IEEE Journals"
"Machine Learning Approach for Prediction of Hematic Parameters in Hemodialysis Patients","C. Decaro; G. B. Montanari; R. Molinari; A. Gilberti; D. Bagnoli; M. Bianconi; G. Bellanca","Department of Engineering, Ferrara University, Ferrara, Italy; MIST E-R, Bologna, Italy; Tecnoideal s.r.l., Mirandola, Italy; MIST E-R, Bologna, Italy; Medica s.p.a, Medolla, Italy; MIST E-R, Bologna, Italy; Department of Engineering, Ferrara University, Ferrara, Italy",IEEE Journal of Translational Engineering in Health and Medicine,"4 Oct 2019","2019","7","","1","8","Objective: This paper shows the application of machine learning techniques to predict hematic parameters using blood visible spectra during ex-vivo treatments. Methods: A spectroscopic setup was prepared for acquisition of blood absorbance spectrum and tested in an operational environment. This setup is non invasive and can be applied during dialysis sessions. A support vector machine and an artificial neural network, trained with a dataset of spectra, have been implemented for the prediction of hematocrit and oxygen saturation. Results & Conclusion: Results of different machine learning algorithms are compared, showing that support vector machine is the best technique for the prediction of hematocrit and oxygen saturation.","2168-2372","","10.1109/JTEHM.2019.2938951","Emilia Romagna Region in the framework of the PO Fse 2014/2020 Alte competenze per la ricerca, il trasferimento tecnologico e l’imprenditorialita’; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8839068","Artificial neural network;hematocrit;hemodialisys;machine learning;non-invasive;oxygen saturation;SVM;visible spectroscopy","Blood;Support vector machines;Machine learning;Machine learning algorithms;Neurons;Biological neural networks;Wavelength measurement","","23","","30","CCBY","16 Sep 2019","","","IEEE","IEEE Journals"
"A Machine Learning Perspective on fNIRS Signal Quality Control Approaches","A. Bizzego; M. Neoh; G. Gabrieli; G. Esposito","Department of Psychology and Cognitive Science, University of Trento, Trento, Italy; Psychology Program, Nanyang Technological University, Jurong West, Singapore; Psychology Program, Nanyang Technological University, Jurong West, Singapore; Department of Psychology and Cognitive Science, University of Trento, Trento, Italy",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"19 Aug 2022","2022","30","","2292","2300","Despite a rise in the use of functional Near Infra-Red Spectroscopy (fNIRS) to study neural systems, fNIRS signal processing is not standardized and is highly affected by empirical and manual procedures. At the beginning of any signal processing procedure, Signal Quality Control (SQC) is critical to prevent errors and unreliable results. In fNIRS analysis, SQC currently relies on applying empirical thresholds to handcrafted Signal Quality Indicators (SQIs). In this study, we use a dataset of fNIRS signals (N = 1,340) recorded from 67 subjects, and manually label the signal quality of a subset of segments (N = 548) to investigate the pitfalls of current practices while exploring the opportunities provided by Deep Learning approaches. We show that SQIs statistically discriminate signals with bad quality, but the identification by means of empirical thresholds lacks sensitivity. Alternatively to manual thresholding, conventional machine learning models based on the SQIs have been proven more accurate, with end-to-end approaches, based on Convolutional Neural Networks, capable of further improving the performance. The proposed approach, based on machine learning, represents a more objective SQC for fNIRS and moves towards the use of fully automated and standardized procedures.","1558-0210","","10.1109/TNSRE.2022.3198110","Italian Ministry of University and Research through the Excellence Department Grant Awarded to the Department of Psychology and Cognitive Science, University of Trento, Italy; European Union–FSE-REACT-EU, PON Research and Innovation 2014–2020(grant numbers:DM1062/2021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854812","Deep learning;functional near infrared spectroscopy;machine learning;signal quality control","Functional near-infrared spectroscopy;Psychology;Indexes;Deep learning;Visualization;Training;Scalp","Humans;Machine Learning;Neural Networks, Computer;Quality Control;Signal Processing, Computer-Assisted;Spectroscopy, Near-Infrared","15","","53","CCBY","11 Aug 2022","","","IEEE","IEEE Journals"
