Author,Title,Year,Publication,DOI
"Christian Ovalle, Omar Santillan Aching, Alfredo Temoche Lopez, and Jorge Alfredo Bojorquez Segura",Comparison of Peruvian coffee varieties applying near infrared spectroscopy (NIRS) and machine learning,2025,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3704323.3704367
"Venkat Suprabath Bitra, Shweta Verma, and B. Tirumala Rao",Machine Learning and Convolution Neural Network based Trace Identification of Pesticides and Dye Mixtures from Raman Spectra,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3570991.3571007
"Xiaodong Xie, Jiawei Guo, Xueqin Zhang, Maidina Nabijiang, Di Zhang, Shanshan Wang, Chen Chen, Xiaoyi Lv, and Cheng Chen",Rapid and noninvasive screening of IgA nephropathy based on tear Raman spectroscopy combined with deep learning algorithms,2025,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3706890.3706966
Dimitra Koumoutsou and Eleni Charou,A Deep Learning approach to Hyperspectral Image Classification using an improved Hybrid 3D-2D Convolutional Neural Network,2020,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3411408.3411462
"S. Mojtaba Marvasti-Zadeh, Devin Goodsman, Nilanjan Ray, and Nadir Erbilgin",Early Detection of Bark Beetle Attack Using Remote Sensing and Machine Learning: A Review,2023,"Surv. 56, 4, Article 97 (April 2024), 40 pages",https://doi.org/10.1145/3625387
"Ravipat Lapcharoensuk, Chawisa Fhaykamta, Watcharaporn Anurak, and Wasita Chadwut",Monitoring Pesticide Residue on Bok Choi using Convolution Neural Network with NIR spectral Data,2025,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3702138.3702155
Wandan Zeng and Mangmang Hang,Application of Convolutional Neural Network in Raman Spectral Recognition of Covid-19,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3589437.3589448
"Ranjana W. Gore, Abhilasha D. Mishra, and Ratnadeep R. Deshmukh",Hyperspectral Image Classification using Machine Learning,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3484824.3484883
"Chenjie Chang, Guifeng Zhao, and Xiaoyi Lv",SDPP: A tumor disease diagnosis application based on vibration spectroscopy and machine learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3644116.3644173
"Fayas Asharindavida, Omar Nibouche, James Uhomoibhi, Jun Liu, and Hui Wang",Machine Learning on Spectral Data from Miniature Devices for Food Quality Analysis - A Case Study,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3583788.3583801
"Lingxi Liu, Giovanni Delnevo, and Silvia Mirri",Hierarchical clustering as an unsurpervised machine learning algorithm for hyperspectral image segmentation of films,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3524458.3547124
"Rushikesh Nalla, Rajdeep Pinge, Manish Narwaria, and Bhaskar Chaudhury",Priority based functional group identification of organic molecules using machine learning,2018,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3152494.3152522
"Pascal Fechner, Fabian König, Wolfgang Kratsch, Jannik Lockl, and Maximilian Röglinger",Near-Infrared Spectroscopy for Bladder Monitoring: A Machine Learning Approach,2023,"Manage. Inf. Syst. 14, 2, Article 16 (June 2023), 23 pages",https://doi.org/10.1145/3563779
"Dylan Molho, Jiayuan Ding, Wenzhuo Tang, Zhaoheng Li, Hongzhi Wen, Yixin Wang, Julian Venegas, Wei Jin, Renming Liu, Runze Su, Patrick Danaher, Robert Yang, Yu Leo Lei, Yuying Xie, and Jiliang Tang",Deep Learning in Single-cell Analysis,2024,"Intell. Syst. Technol. 15, 3, Article 40 (June 2024), 62 pages",https://doi.org/10.1145/3641284
"Xi Wang, Zhen Ning, Tangyan Liu, and Yan Cao",Deep learning time series prediction models in Logging Curve prediction and generation,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3696952.3696964
"Lukman Heryawan, Fitra Febriansyah, and Arif Bukhori",Deep Learning and Machine Learning Model Comparison for Diagnosis Detection from Medical Records,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3575882.3575941
"Kien Nguyen, Hugo Proença, and Fernando Alonso-Fernandez",Deep Learning for Iris Recognition: A Survey,2024,"Surv. 56, 9, Article 223 (September 2024), 35 pages",https://doi.org/10.1145/3651306
Shallu Sharma and Pravat Kumar Mandal,A Comprehensive Report on Machine Learning-based Early Detection of Alzheimer's Disease using Multi-modal Neuroimaging Data,2022,"Surv. 55, 2, Article 43 (February 2023), 44 pages",https://doi.org/10.1145/3492865
"Qingqing Xiong, Jinzhe Jiang, Chen Li, Xin Zhang, and Yaqian Zhao",Study on The Effect of Encoding Method in Quantum Machine Learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3651671.3651689
"Duy Van Tran, Khai Duc Lam, and Hong Thi Tran",Robust Deep Learning Approaches for Wireless Communication Systems,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3638985.3639005
"Yuan Liu, Xiaotian Zhou, Xiaopeng Zhang, Jian Wang, and Zhenguo Wen",Convolutional Neural Networks and Raman Spectroscopy for Semi-Supervised Dataset Construction and Transfer Learning Applications in Real-Time Quantitative Detection,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3665689.3665706
"Dong Xiao, Hongzong Li, and Guotai Jiang",Spectral and BP Neural Network Research on Classification of Iron Ore,2019,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3349341.3349409
"Shengheng Liu, Zihuan Mao, Xingkang Li, Mengguan Pan, Peng Liu, Yongming Huang, and Xiaohu You",Model-Driven Deep Neural Network for Enhancing Direction Finding with Commodity 5G gNodeB,2025,"Sen. Netw. 21, 2, Article 13 (March 2025), 25 pages",https://doi.org/10.1145/3712305
"Qing Li, Xing-Rong Fan, Xin-Yue Luo, Xian-Ming Zhang, and Zhao-Jie Jiao",Integrating Convolutional Neural Network and Broad Learning System for Moisture Detection in Oil via Near-Infrared Spectroscopy,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3697355.3697365
"Runqing Luo, Jian Sun, and Yanan Guo",Deep Learning-Based Modulation Recognition for Imbalanced Classification,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3650215.3650308
"Zhe Zhao, Ruina Zhu, Yuyan Yang, Huiquan Wang, Jinhai Wang, and Guang Han",Improving the Accuracy of Complex Solution Detection in Wedge Sample Pool Based on Machine Learning,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3594315.3594662
"Jonghyun Bae, Jong Youl Choi, Massimiliano Lupo Pasing, Kshitij Merita, Pei Zhang, and Khaled Z. Ibrahim",MDLoader: A Hybrid Model-Driven Data Loader for Distributed Graph Neural Network Training,2025,IEEE Press,https://doi.org/10.1109/SCW63240.2024.00145
"Steven M. Goodman, Emma J McDonnell, Jon E. Froehlich, and Leah Findlater",SPECTRA: Personalizable Sound Recognition for Deaf and Hard of Hearing Users through Interactive Machine Learning,2025,"Association for Computing Machinery, New York, NY, USA, Article 72",https://doi.org/10.1145/3706598.3713294
"Liang Xue, Mykola Bordyuh, Djork-Arne Clevert, and Robert Stanton",Benchmarking deep learning models and classical de novo sequencing tools for immunopeptidomics,2023,"Association for Computing Machinery, New York, NY, USA, Article 61, 1",https://doi.org/10.1145/3584371.3613055
"Shahid Karim, Geng Tong, Jinyang Li, Xiaochang Yu, Jia Hao, and Yiting Yu",Automatic Machine Learning based Real Time Multi-Tasking Image Fusion,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3651671.3651683
Tongtong Xia,Research on Moving Object Real-time Recognition based on Deep Neural Network,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3696687.3696722
"Yawen Zheng, Xu Wang, Fan Dang, and Xin Miao",Enhancing Physical-Layer Key Generation Accuracy through Deep Learning-Based Hardware Calibration,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3662007.3663883
"Sanjeeb Tiwary, Subhashree Darshana, Debabrata Mohanty, Adyasha Dash, Potnuru Rupsa, and Rabindra K Barik",Prediction of Algae Growth: A Machine Learning Perspective,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3607947.3607967
Chengen Zou,Automatic Protein Sequences Classification Using Machine Learning Methods based on N-Gram Model,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3650215.3650382
Kendric Hood and Qiang Guan,Machine Learning Applied to Single-Molecule Activity Prediction,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3624062.3626083
"Deba Prasad Dash, Maheshkumar Kolekar, Chinmay Chakraborty, and Mohammad R. Khosravi",Review of Machine and Deep Learning Techniques in Epileptic Seizure Detection using Physiological Signals and Sentiment Analysis,2024,"Asian Low-Resour. Lang. Inf. Process. 23, 1, Article 16 (January 2024), 29 pages",https://doi.org/10.1145/3552512
"Jiawen Zhang, Xiaoyan Huang, and Qian Chen",Blood Glucose Monitoring Using Non-Invasive Features of Wearable Devices and Machine Learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3654823.3654897
"Ying Li, Jierong Tang, Junreng Rao, Yuhan Wang, Le Li, Zhen Tan, and Weidong Xiao",Machine Learning-based Composition Analysis of Ancient Glass Objects,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3658835.3658838
Gargi Misra and Divya Kumar,Deep Learning Technique to Diagnose Depression in Audio,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3607947.3608029
"Lei Gao, Xiaohong Yan, and Hu Zhu",Infrared Spectral Deconvolution Algorithm Based on Masked Pre-training Transformer,2024,"Association for Computing Machinery, New York, NY, USA, Article 70",https://doi.org/10.1145/3653804.3656268
"Sinh Phuoc Truong Huynh, Thang Quoc Dang, Hien Duc Nguyen, Phuc Nguyen Huu Tran, and Nguyen Quang Vinh Nguyen",Knife Detection using YOLOV5: A Deep Learning Approach,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3654522.3654524
"Dulani Meedeniya, Isuru Ariyarathne, Meelan Bandara, Roshinie Jayasundara, and Charith Perera",A Survey on Deep Learning Based Forest Environment Sound Classification at the Edge,2023,"Surv. 56, 3, Article 66 (March 2024), 36 pages",https://doi.org/10.1145/3618104
"Xueyuan Yang, Zhenlin An, Qingrui Pan, Lei Yang, Dangyuan Lei, and Yulong Fan",Binary Optical Machine Learning: Million-Scale Physical Neural Networks with Nano Neurons,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3636534.3649384
"Lei Geng, Yalong Huang, Wen Wang, Ye Song, Nuohan Song, Heng Zhao, and Quan Guo",Research on Apple Variety Classification Based on the Combination of Hyperspectral and Deep Learning,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3467707.3467716
Xin Hong and Maorong Hu,Application of machine learning in bipolar disorder,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3644116.3644218
Danika Gupta and Atul Dubey,Towards Improved Sustainability in The Textile Lifecycle with Deep Learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3674829.3675077
"Guikai Zheng, Min Zhu, Zijian Xu, Chao Liu, Hao Yin, and Peng Sun",Progress of machine learning potentials for material atomic simulation,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3671151.3671158
"Shathanaa Rajmohan, Mani Tej Mendem, Shankar Sreenu Vanam, and Pavan Kumar Thalapally",Online Grading of Fruits using Deep Learning Models and Computer Vision,2023,"Association for Computing Machinery, New York, NY, USA, Article 5",https://doi.org/10.1145/3590837.3590842
"Qinming Zhang, Xiyue Hou, Mei Zhou, Song Qiu, Li Sun, Hongying Liu, Qingli Li, and Yiting Wang",SAM Filter Based Convolution Neural Network Alogrithm for Leukocyte Classification,2017,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3133793.3133800
Nguyen Quoc Khanh Le and Quang Hien Kha,A Sequence-Based Prediction Model of Vesicular Transport Proteins Using Ensemble Deep Learning,2023,"Association for Computing Machinery, New York, NY, USA, Article 106",https://doi.org/10.1145/3584371.3612950
"Szymon Drgas, Lars Bramsløw, Archontis Politis, Gaurav Naithani, and Tuomas Virtanen",Dynamic Processing Neural Network Architecture for Hearing Loss Compensation,2023,"Audio, Speech and Lang. Proc. 32 (2024)",https://doi.org/10.1109/TASLP.2023.3328285
"Tayyaba Zainab, Jens Karstens, and Olaf Landsiedel",LightEQ: On-Device Earthquake Detection with Embedded Machine Learning,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3576842.3582387
"Jiexiu Ming, Junyi Xu, Miaomiao Zhang, Ningyu Li, and Xu Yan",A machine learning-based diabetes risk prediction modeling study,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3675249.3675313
Abdulla A. Omeer and Ratnadeep R. Deshmukh,Deep Learning-Based Models for Classification of Invasive Plant Species from Hyperspectral Remotely Sensed Data,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3484824.3484884
