Author,Title,Year,Publication,DOI
Ken O’Hanlon and Mark B. Sandler,FifthNet: Structured Compact Neural Networks for Automatic Chord Recognition,2021,"Audio, Speech and Lang. Proc. 29 (2021)",https://doi.org/10.1109/TASLP.2021.3070158
Toru Nakashika and Kohei Yatabe,Gamma Boltzmann Machine for Audio Modeling,2021,"Audio, Speech and Lang. Proc. 29 (2021)",https://doi.org/10.1109/TASLP.2021.3095656
"Chenglin Xu, Wei Rao, Eng Siong Chng, and Haizhou Li",SpEx: Multi-Scale Time Domain Speaker Extraction Network,2020,"Audio, Speech and Lang. Proc. 28 (2020)",https://doi.org/10.1109/TASLP.2020.2987429
"Reo Yoneyama, Yi-Chiao Wu, and Tomoki Toda",High-Fidelity and Pitch-Controllable Neural Vocoder Based on Unified Source-Filter Networks,2023,"Audio, Speech and Lang. Proc. 31 (2023)",https://doi.org/10.1109/TASLP.2023.3313410
K. O’Hanlon; M. B. Sandler,FifthNet: Structured Compact Neural Networks for Automatic Chord Recognition,2021,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",https://doi.org/10.1109/TASLP.2021.3070158
T. Saifollahi; J. Janz; R. F. Peletier; M. Cantiello; M. Hilker; S. Mieske; E. A. Valentijn; A. Venhola; G. V. Kleijn,Ultra-compact dwarfs beyond the centre of the Fornax galaxy cluster: hints of UCD formation in low-density environments,2021,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stab1118
D. Korber; M. Bianco; E. Tolley; J. -P. Kneib,PINION: physics-informed neural network for accelerating radiative transfer simulations for cosmic reionization,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad615
R. Yoneyama; Y. -C. Wu; T. Toda,High-Fidelity and Pitch-Controllable Neural Vocoder Based on Unified Source-Filter Networks,2023,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",https://doi.org/10.1109/TASLP.2023.3313410
C. Xu; W. Rao; E. S. Chng; H. Li,SpEx: Multi-Scale Time Domain Speaker Extraction Network,2020,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",https://doi.org/10.1109/TASLP.2020.2987429
T. Nakashika; K. Yatabe,Gamma Boltzmann Machine for Audio Modeling,2021,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",https://doi.org/10.1109/TASLP.2021.3095656
"Korber, Damien and Bianco, Michele and Tolley, Emma and Kneib, Jean-Paul",PINION: physics-informed neural network for accelerating radiative transfer simulations for cosmic reionization,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad615
"Saifollahi, Teymoor and Janz, Joachim and Peletier, Reynier F. and Cantiello, Michele and Hilker, Michael and Mieske, Steffen and Valentijn, Edwin A. and Venhola, Aku and Verdoes Kleijn, Gijs",Ultra-compact dwarfs beyond the centre of the Fornax galaxy cluster: hints of UCD formation in low-density environments,2021,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stab1118
